title,comment
@cruisendude5377,The first viewer must feel like the king of the world...
@eliasomg7523,Para Mi  Es La Musica Mas Exitosa De Todo Youtube A Nivel Mundial ❤
@johnnjoroge2460,Good memories listening to this. Coming back after years and it’s still such a great song🔥
@AdamDGamer81,"No matter what, it doesn’t matter on  how bad or good it is, it doesn’t matter on how old it is, this song is still a masterpiece."
@rayssabeorlegui7002,"2023 e eu aqui relembrando que dançamos a coreografia dessa musica na escola, relíquia ❤🇧🇷"
@mahakgupta7162,No matter how much it gets old this song is still a Masterpiece 🌍🌼
@Armaansingh-qv3qo,"2017: People came to listen song. 
2023: People come to check views."
@lll_andre27,2023 e ainda essa musica é top❤
@Ronald-vo6co,Esta canción rompió los límites 💯y eso que casi es 2024 perfecta para dedicarla 👋
@leslievargaslara4810,Esta canción todavía me pone la piel chinita… acabo de ver el video en la tele y corrí a you tuve y que wow con los 8 billones casi 9😮😮😮
@diegomejia5188,Tanto tiempo que ha pasado y aun esta cancion sigue teniendo la misma sensacion como el primer dia ❤
@NetoMendes1990,"28/07/2023. Super Nostalgia + Tbt de Respeito Pop Latino Internacional das clássicas. Na Moral, é Ano 2017. ""Eu Amo Essa Música"" Clipe Perfeito, seguindo a 9 Bilhões de visualizações. Comentário Made In Brazil.🇧🇷❤️😍🎧"
@ataki1854,"2017: People Come to hear this song
2019: People Come to see the views"
@CumbiasClasicas,"¡No importa cuántos años pasen, esta canción permanecerá en nuestros corazones para siempre!💖"
@Ett345,"Não importa o ano, o mês ou o dia! Essa música será um sucesso para sempre!"
@jordyvanegas997,"Si ven esté comentario , qué Dios te Cuíde en todo momento a ti y a tú familia"
@topsongs8888,"No matter how many years pass, this song will stay in our hearts forever!💖"
@yurdyzrodriguez9107,"Este Vídeo salió el 13 de Enero (fecha de mi cumple) tenía 15 años en el 2017, fui una de las primeras personas en oírlo (o sea el mismo día 😅) mi padre me lo dedicó para mi fiesta ese mismo día. Y hoy 6 años más tarde en 2023 tengo 21 años y nunca olvídate este HIMNO 😢🎉❤"
@gamityuvraj3810,Who’s here before 8.5B views ?
@bikashswain5522,"This song never get old , no matter how much i listen ❤️"
